,Campaign,C.treat,Position,Photo,gs,Ci,Tleaf,Vcmax,Jmax,LMA,LeafN,GapFr,Openness,log.Open,se-Photo,se-gs,se-Ci,se-Tleaf,se-Vcmax,se-Jmax,se-LMA,se-LeafN,se-GapFr,se-Openness,se-log.Open
1,AMay_2014,+C,lower,20.425,0.196833333,348.8333333,22.64916667,66.88495758,120.9500744,140.9966519,1.757405982,27.91125,30.87916667,1.477260488,2.486756589,0.046192833,20.33794347,0.229716008,4.70509447,8.914193983,2.46122198,0.129170555,0.856962599,0.777504466,0.01792043
5,BOct_2014,+C,lower,16.85833333,0.1345,323.5,24.3025,64.59219317,108.5667801,151.3860118,1.645833333,39.5275,41.97916667,1.620138265,0.434053888,0.001322876,6.062177826,0.069686799,1.89201905,2.02124608,4.130016952,0.059060938,1.486906044,0.764521001,0.008307395
9,CFeb_2015,+C,lower,17.92111111,0.211888889,378.1111111,28.11388889,74.14825101,110.1857857,180.0146178,1.655949973,35.78444445,39.24027778,1.591628584,2.082256685,0.014119967,8.944962028,0.037097636,8.159158897,10.89875928,5.151004595,0.117031849,0.931814406,1.158007782,0.013815678
13,DFeb_2016,+C,lower,19.21666667,0.192166667,325.9166667,27.16916667,94.19400456,133.7898211,144.9388609,NA,NA,NA,NA,1.326126356,0.055516014,41.29576586,0.525722387,3.744247503,11.36694334,17.07698358,NA,NA,NA,NA
3,AMay_2014,0C,lower,17.79166667,0.346416667,284.1666667,22.82333333,67.44707314,119.7396221,158.0838362,1.716107913,26.91916667,29.92333333,1.462896669,1.209022792,0.031175021,10.7957682,0.23392633,6.366771566,10.22913193,7.108339507,0.075858095,2.127122633,2.22015124,0.035011916
7,BOct_2014,0C,lower,13.05,0.225833333,283.1666667,24.75833333,60.50160184,104.091708,167.0849515,1.476666667,36.4325,39.68083333,1.588998663,1.575066136,0.027689248,2.315407332,0.118895379,5.256718438,8.125435358,10.1150728,0.137123221,4.497783019,4.468105101,0.052114947
11,CFeb_2015,0C,lower,17.225,0.255583333,266.8333333,28,95.84675912,126.2712032,168.1319799,1.647294164,34.215,37.37416667,1.553570816,0.875,0.002916667,8.166666667,0.01,6.367489042,0.822276083,2.7063313,0.196058274,8.915,9.164166667,0.113219999
15,DFeb_2016,0C,lower,18.90277778,0.287861111,268.4444444,27.19638889,95.99295308,130.776281,145.4022405,NA,NA,NA,NA,0.677111467,0.014565174,6.062432385,0.270740725,6.214816007,6.868184107,6.525984123,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
2,AMay_2014,+C,upper,24.68333333,0.317333333,391.3333333,22.78333333,75.90635316,145.5816108,185.7422694,1.77926251,78.56833333,81.40083333,1.910504707,0.371308996,0.034500134,16.90359374,0.325257733,2.022631307,4.537806106,5.770914481,0.059357951,1.459213068,1.226149404,0.006504241
6,BOct_2014,+C,upper,20.78333333,0.182666667,340.3888889,24.22833333,75.27931008,124.9416148,202.0467288,1.649166667,79.12444444,81.85888889,1.912273926,0.495629043,0.018675593,18.52434168,0.131870447,3.016561637,4.46756435,0.421553669,0.022826844,3.883241455,3.541435853,0.018421943
10,CFeb_2015,+C,upper,25.18888889,0.288722222,372.3888889,27.99888889,118.9334433,165.3240439,164.38701,1.580445899,76.548,79.45866667,1.899910229,0.406581655,0.009464521,10.21361352,0.281163807,3.944494527,3.682969146,3.679176179,0.049248315,1.984645392,1.822218916,0.010045661
14,DFeb_2016,+C,upper,21.24444444,0.209111111,331.5555556,26.80611111,91.86645684,154.9973486,197.5519607,1.406111111,NA,NA,NA,1.656198607,0.034043726,16.74767351,0.068895609,5.447366021,4.691989677,16.617896,0.051911011,NA,NA,NA
4,AMay_2014,0C,upper,19.93333333,0.347555556,281.2777778,22.96888889,74.78323225,133.3258405,177.9630281,1.79590316,79.495,82.17833333,1.914727418,0.595430128,0.061995096,12.93657367,0.241089989,0.46864726,3.29102956,9.86909659,0.117307517,0.668661599,0.596128715,0.003146474
8,BOct_2014,0C,upper,17.84444444,0.281111111,265.5555556,23.92611111,80.47241505,130.3004368,195.8391476,1.658333333,72.04833333,75.00833333,1.8744274,1.069628411,0.063980924,16.75099039,0.20736739,3.246783205,8.796754757,10.52786218,0.117548256,3.169884768,2.938582897,0.017309662
12,CFeb_2015,0C,upper,20.67777778,0.331222222,273.1111111,28.06444444,117.9075181,167.7358138,152.7483232,1.833782607,75.8875,78.7175,1.895803694,0.125215863,0.039124366,14.24953974,0.019277057,8.160346299,5.059307473,5.939090905,0.089922752,3.0725,2.7625,0.015247326
16,DFeb_2016,0C,upper,18.37222222,0.212472222,234.7916667,26.70736111,107.1867733,156.5324019,166.3318995,1.573611111,NA,NA,NA,0.797294809,0.011288548,3.812974318,0.050173503,6.333396618,9.421095902,19.23451335,0.063326632,NA,NA,NA
